L,528,483,0,20160624124223
L,702,549,0,20160624124227
L,30,1055,0,20160624124228
L,631,551,0,20160624124232
L,166,1010,0,20160624124234
L,1115,218,0,20160624124236
L,1898,1023,0,20160624124241
L,126,1045,0,20160624124245
L,181,906,0,20160624124247
L,208,903,0,20160624124248
R,1626,1062,0,20160624124251
L,1605,1061,0,20160624124256
L,1704,880,0,20160624124259
L,1152,1018,0,20160624124304
L,1624,1058,0,20160624124335
L,1661,858,0,20160624124337
L,225,1056,1,20160624124443
L,648,527,1,20160624124444
L,865,241,0,20160624124445
L,117,690,0,20160624124445
L,171,1071,1,20160624124446
L,342,17,0,20160624124447
L,255,424,0,20160624124448
L,1379,826,1,20160624124450
L,1688,796,0,20160624124507
L,136,1070,1,20160624124510
L,262,542,0,20160624124514
L,507,440,0,20160624124515
L,507,440,0,20160624124515
L,501,363,0,20160624124516
L,501,363,0,20160624124516
L,443,307,0,20160624124517
L,1062,160,1,20160624124519
L,1741,585,1,20160624124527
L,652,653,0,20160624124533
L,1402,698,0,20160624124545
L,1503,102,0,20160624124546
L,1411,511,1,20160624124548
L,1411,508,0,20160624124548
L,1672,18,1,20160624124549
L,1096,464,1,20160624124550
L,427,0,1,20160624124551
L,508,0,0,20160624124552
L,760,367,1,20160624124552
L,166,1053,1,20160624124627
L,339,19,0,20160624124628
L,116,503,0,20160624124629
L,555,11,0,20160624124640
L,149,704,0,20160624124642
L,498,602,1,20160624124643
L,387,299,0,20160624124652
L,476,604,0,20160624124657
L,224,587,0,20160624124657
L,115,582,1,20160624124703
L,231,775,1,20160624124726
L,255,961,1,20160624124727
L,0,799,1,20160624124728
L,625,816,0,20160624124738
L,663,821,0,20160624124739
L,757,810,0,20160624124740
L,815,815,1,20160624124740
L,885,821,0,20160624124744
L,933,822,0,20160624124745
L,997,823,1,20160624124753
L,1019,823,0,20160624124754
L,1063,820,0,20160624124755
L,1106,821,0,20160624124756
L,1118,819,1,20160624124757
L,1154,817,0,20160624124757
L,1215,817,0,20160624124759
L,1261,814,1,20160624124759
L,1296,819,0,20160624124800
L,1349,819,1,20160624124802
L,1040,912,0,20160624124808
L,589,18,0,20160624124810
L,428,818,1,20160624124811
L,599,831,1,20160624124812
L,728,826,1,20160624124812
L,884,832,1,20160624124813
L,938,814,1,20160624124813
L,1088,814,0,20160624124814
L,641,10,0,20160624124816
L,391,813,0,20160624124817
L,470,821,1,20160624124818
L,632,829,1,20160624124818
L,858,824,1,20160624124819
L,1053,820,0,20160624124819
L,1189,809,1,20160624124820
L,689,15,0,20160624124822
L,390,836,1,20160624124832
L,294,463,0,20160624124838
L,738,720,0,20160624124842
L,275,973,1,20160624124849
